gene,log2fc_late_minus_early,pval,qval,significant
PITPNM3,-0.0850225717829669,0.020247918202830468,0.04652564171119441,True
KRT28,0.010230651794531453,0.020269554999786808,0.04656999165542169,True
LTBP1,0.3092544930835013,0.020279301720156444,0.04658701667202203,True
ZDHHC9,-0.18390372770832197,0.020295006860304134,0.04660698534677998,True
SMARCE1,-0.07327960363082386,0.02029498161077235,0.04660698534677998,True
CHFR,0.11407457576996238,0.020294999285443326,0.04660698534677998,True
DGKK,-0.0318675712405973,0.020321133422715236,0.04666160983324846,True
DPPA3,0.008036439690601756,0.020331643554333218,0.046680367248537045,True
DDIAS,0.11846438800509695,0.020373646242935063,0.0467714172471663,True
TTC38,-0.15248939775619075,0.020389445500873887,0.04680229845687584,True
FMR1NB,0.0623891609596674,0.020395069535448826,0.04680981885550578,True
FKRP,-0.07561447066541227,0.020405217416272586,0.04682232993965276,True
METTL8,-0.0630432904750502,0.02040521488158779,0.04682232993965276,True
TCF24,0.027573097738918168,0.020428552966968765,0.04687048205470923,True
EFHB,-0.07760346326392298,0.02045259957566876,0.046914896994779576,True
EIF3H,-0.10712902257939216,0.0204526173477091,0.046914896994779576,True
GALNT17,0.058866176400780845,0.02046668674883197,0.04694176928542641,True
OOSP4B,0.015374887543143732,0.020480165225847072,0.046965883185283,True
ARCN1,-0.11761200779278802,0.020484267237396978,0.046965883185283,True
WNT9B,-0.08578405471367312,0.020484249445840427,0.046965883185283,True
TRIM71,-0.14706908033863064,0.02049757792347994,0.046990997888736695,True
HS3ST2,-0.30244436085178616,0.020515957289274182,0.04702772550397202,True
NDUFAF1,-0.0949010111850459,0.02053181706983601,0.04705866981703533,True
MT-ND2,0.16330427252900925,0.02054769518354551,0.04707882631228802,True
CCT8,-0.10046035070247683,0.02054769518354551,0.04707882631228802,True
C1QB,0.27141522917148997,0.02054769518354551,0.04707882631228802,True
DCP1B,-0.05591185175431601,0.020611294331433782,0.04720826954395482,True
ZNF503,-0.12508257851418536,0.020611294331433782,0.04720826954395482,True
ADGRG1,-0.22133370527785523,0.020611294331433782,0.04720826954395482,True
AIRE,0.034317995506272264,0.02061748893170799,0.0472170335768888,True
EDEM2,0.10021975146336892,0.02064315822342485,0.047270390336355196,True
RAB10,-0.1306527226161842,0.020707014878589832,0.047405725416158465,True
TSNARE1,-0.12417025554792893,0.020707014878589832,0.047405725416158465,True
CXCL1,0.4570882410682944,0.02073900773590208,0.047473517363767585,True
CSNK2A2,-0.07343747752135288,0.02077103854217962,0.04753592948020411,True
PNN,-0.10240771595508669,0.020771041109014857,0.04753592948020411,True
TMEM222,-0.07624460828267576,0.020787075248307956,0.04756716473094962,True
C6orf120,-0.1411030028703264,0.020803120175945235,0.04758204213623416,True
SPARC,-0.15062884769634088,0.020803122745588987,0.04758204213623416,True
CABS1,0.013812610831202828,0.02079675367987352,0.04758204213623416,True
DSP,-0.209017856124599,0.020803117606301602,0.04758204213623416,True
ZBTB45,-0.10195404535059671,0.020835244992307593,0.0476500475632747,True
CENPH,0.1603020991128794,0.020883506845859275,0.047754944316176426,True
AMBRA1,-0.0924030290701423,0.020931868685848974,0.04786004562596982,True
CYTH4,0.21001078646663585,0.020964164110244116,0.04792289658679744,True
RAPGEFL1,0.15847620494975345,0.020964158942811624,0.04792289658679744,True
SMIM22,0.070526786418185,0.02100516144813014,0.04801110958991387,True
KRTAP17-1,0.027776095276250037,0.02100842394104505,0.048013062418220565,True
TMPRSS7,-0.01982649047544323,0.021021393946120858,0.04803230217392122,True
OR1E1,0.006072855411637476,0.021026945124043246,0.04803230217392122,True
PADI2,0.23091355204311803,0.021028882657380354,0.04803230217392122,True
LPCAT3,-0.20790507278815573,0.021028885246740014,0.04803230217392122,True
GOT2,-0.12800015772931062,0.021028887836099824,0.04803230217392122,True
MTMR11,-0.1378043038074006,0.021061313645848734,0.048097402137224604,True
ISL1,0.03836839928319814,0.021062213765679006,0.048097402137224604,True
LRRTM3,-0.012479303303707008,0.02106876342633348,0.048106848968648294,True
ARMC2,-0.08087968402886592,0.021077537693957336,0.04812137255721074,True
EMID1,-0.14547956452805488,0.021093783011323242,0.048147435109303124,True
P4HA3,0.32626253473221434,0.02109378041631196,0.048147435109303124,True
FLRT2,0.11478872503514936,0.021109992499506892,0.048178918321333385,True
UCKL1,-0.13050835037712805,0.02114256623117496,0.04824773784103998,True
UMPS,-0.11080874188336098,0.021207759058191195,0.04839097048549051,True
ECE1,-0.1252757728066065,0.02122409698093706,0.04842270804507645,True
LARGE1,-0.11896137586762845,0.021240430216873978,0.04845442765034707,True
LSAMP,-0.007275941439797373,0.021253166028051173,0.04847793436303447,True
TDRKH,-0.11414738683757886,0.02125678222900836,0.048480636477003965,True
PYGO1,0.13960785421242894,0.021273121708935673,0.048512352811707585,True
BMP6,-0.24352147176875416,0.021289516536654018,0.04854418809558644,True
STRIT1,0.14053179615015088,0.021294936164334734,0.048545442172936874,True
SLC6A5,0.0002078357844376988,0.021293930871960298,0.048545442172936874,True
MBOAT2,-0.16077254361418492,0.02130589622781849,0.048564874698781874,True
YPEL3,0.14034561848408877,0.02132229212404976,0.048591137315042186,True
AGMAT,-0.2692383018715834,0.02132229212404976,0.048591137315042186,True
GPC5,0.11761636591451763,0.021342040371773965,0.04863058296370621,True
TMEM72,-0.43720724279589573,0.02135511164810818,0.04864368971095406,True
GNPTAB,-0.11909771164603544,0.02135511164810818,0.04864368971095406,True
RNF181,0.08853344195769974,0.02135511164810818,0.04864368971095406,True
CUZD1,0.021322544294346296,0.021370737416338666,0.048669973527848194,True
CCDC97,-0.0558690319078341,0.02137153266307107,0.048669973527848194,True
SLC7A14,-0.005430301879196804,0.02140099749193042,0.048731508450674824,True
MPP4,0.03217795809332412,0.02140346867518727,0.04873156999496218,True
GLT6D1,0.008111656975966865,0.021410943690457374,0.04874302298473842,True
ZNHIT2,0.09610509534773204,0.021486830066905018,0.0488878714908082,True
TXN2,-0.11399451107073943,0.021486830066905018,0.0488878714908082,True
RPP30,-0.06113556049751523,0.02148682743781365,0.0488878714908082,True
ZMYM3,-0.08441262507708647,0.021486830066905018,0.0488878714908082,True
PLEKHG4B,0.10864342296823559,0.021486748565129086,0.0488878714908082,True
B3GNTL1,0.11844274267980848,0.02150332346010011,0.04891981551203514,True
SLC7A4,0.06001011967679701,0.021524060962459686,0.04896140644261508,True
NCKAP5L,0.14043739867852656,0.021552948870355037,0.04901594012886693,True
PTGES2,-0.10344516523299419,0.0215529515051548,0.04901594012886693,True
CLPS,0.029639472203157068,0.021586761346826938,0.049081633907291075,True
AHDC1,-0.09456260722929866,0.02158607992250295,0.049081633907291075,True
EZH2,0.16474794807453952,0.021602660748095446,0.049106584197415,True
GTF2A1L,0.009544458295298815,0.02160084489016214,0.049106584197415,True
SART3,-0.05938596196554524,0.021619255300155456,0.049133102949333124,True
MCM9,-0.08014336344028683,0.021619236816542178,0.049133102949333124,True
FYTTD1,-0.12133809436072607,0.021652472407985405,0.04920298551064657,True
HTRA3,0.30927066824215865,0.02166909232524305,0.04923514105762916,True
ATP23,-0.07859271782257293,0.021685720700523443,0.04925611336646304,True
CAPRIN1,-0.15609692466917124,0.021685733931728988,0.04925611336646304,True
RBMS1,-0.06895295872184448,0.021685733931728988,0.04925611336646304,True
P3H1,0.22907146152461344,0.02171903991949947,0.04932614397026773,True
UPK3A,0.025240434012873847,0.021734469162812593,0.049355563344892654,True
FBXO17,-0.07484688109442406,0.02175239041944414,0.04938501026905913,True
CDON,-0.2136189123247787,0.02175239041944414,0.04938501026905913,True
GPR32,0.015114925074271944,0.021756064768060763,0.049387728492040935,True
RCVRN,0.018412863394788717,0.02179353040463174,0.04946714585696125,True
ZNF804A,0.07841824354632332,0.02180236692127574,0.04948156991194032,True
FOS,-0.29546782781899594,0.021819225148616665,0.04950855935053136,True
ZNFX1,-0.10296845931982901,0.021819225148616665,0.04950855935053136,True
C11orf42,-0.08660307767480813,0.021884400743312524,0.04964364778184354,True
FAM177B,0.08775848089537996,0.021886230514715856,0.04964364778184354,True
RNASE4,-0.15455198772081324,0.021886193226227747,0.04964364778184354,True
SMURF1,-0.08576381154958312,0.02190301713511832,0.049676072760776825,True
PRKACA,-0.0691090211943175,0.02191981228933218,0.04970850971618574,True
TJAP1,-0.08252453682040128,0.02193661331130455,0.04973529636124518,True
PTX3,0.33606774521979954,0.021936610643522824,0.04973529636124518,True
H1-8,-0.00728017797287531,0.02194190506949372,0.049741637666352,True
AC011455.2,-0.016384835697324976,0.02197994302144593,0.04982220372460083,True
BLID,0.03277846108756488,0.022001707601309185,0.04986519964268088,True
BTLA,0.13038856919733,0.02200391345452434,0.04986519964268088,True
CCDC117,-0.07752093176588648,0.02202080264623921,0.049897802382170404,True
TUBA4B,0.18164714176361585,0.02205445149105825,0.04996836975326357,True
ATP6V0D1,-0.1344096218697466,0.02208835420533549,0.050039496210201,False
CCNI2,0.09524315897181901,0.02213910924311141,0.05014313778349931,False
FOXK2,-0.06203752295360898,0.022139133408975043,0.05014313778349931,False
ZNF862,-0.1158909042862919,0.02219001411696687,0.050246974299609316,False
THBD,-0.15777215113463416,0.022190019495840107,0.050246974299609316,False
DHX8,-0.11554701109094001,0.022206997834800877,0.05027970961052236,False
SMARCAL1,-0.0801141014953739,0.02222399824083625,0.050312487444736355,False
AFM,-0.23087261693983252,0.02225878689103366,0.05037980395430005,False
SEC23IP,-0.11996301040533197,0.022258022224317532,0.05037980395430005,False
IGSF3,-0.2270670469671483,0.022275048499025275,0.0504108872841732,False
STEAP1B,0.09465604622764234,0.022292013249239035,0.050438007288568926,False
RAB1A,-0.09627533178340197,0.0222920914949779,0.050438007288568926,False
SPRR2E,0.02217532504111204,0.022308215660366646,0.050468762491363915,False
MRPL46,-0.08370852717112665,0.02232618449328745,0.050486548401112746,False
KLHL31,-0.08812770631169242,0.02232619259638323,0.050486548401112746,False
XPNPEP3,-0.09023399500535323,0.022326206101545346,0.050486548401112746,False
KLHL18,-0.0979880318643076,0.022326206101545346,0.050486548401112746,False
CCL20,0.506749834317306,0.02236036609278202,0.05055232783284816,False
RPS6,-0.09285003799515579,0.02236036609278202,0.05055232783284816,False
RHCG,-0.06167522794102909,0.02240616390069657,0.0506501242462685,False
PCED1B,0.20019617420564462,0.02242882242448234,0.05067261886677948,False
AL031777.2,0.03801956294956718,0.022419872775840212,0.05067261886677948,False
RIPOR1,-0.0978384389704896,0.02242882242448234,0.05067261886677948,False
ZC3H4,-0.06286608025185636,0.02242882242448234,0.05067261886677948,False
SLC25A5,-0.211779833189496,0.02242882242448234,0.05067261886677948,False
BCL11B,0.16045224301722905,0.022445962237905397,0.05070559654422817,False
DSCAML1,-0.20194840143559256,0.022463118862640845,0.05073285725909981,False
NAALAD2,-0.08945751275182767,0.02246309444869508,0.05073285725909981,False
HOXC8,0.19551693100976042,0.022497458165285023,0.05080465748096645,False
PCDHGB7,-0.2525911770818636,0.022514640846689186,0.050837702061301136,False
BOLA1,-0.10992102286346928,0.022531848528067517,0.050870795601020286,False
DGAT2,0.11543895814833394,0.022549051318008932,0.050903870604445435,False
DGKZ,0.13851583217179186,0.022566281853235188,0.05093700074604361,False
GGA1,-0.10496899158715056,0.022583512937502204,0.050970124626207716,False
SLC25A33,-0.10755780877894194,0.022600755456718184,0.050997494601182344,False
OIP5,0.09015500780850894,0.022600755456718184,0.050997494601182344,False
FGF13,-0.1278216898182356,0.022618003965448937,0.051030639703872456,False
RBM3,-0.12187960673467124,0.022635285733483553,0.05105229942920759,False
ZNF275,-0.08542479604756092,0.022635277551756792,0.05105229942920759,False
TAF5,-0.07271005062733016,0.022635285733483553,0.05105229942920759,False
LBHD1,0.11536920425667652,0.022652546227954404,0.05108545036680861,False
NUP88,-0.09127816082672124,0.022669853656503564,0.05111869963847185,False
RHBG,-0.0694536063179062,0.022692889214428563,0.05116485640136568,False
WDR55,-0.10291338639107606,0.022704472914019513,0.051173613040890915,False
ABCB1,-0.28569024412034993,0.022704472914019513,0.051173613040890915,False
PLAAT3,-0.15303794494132816,0.022704472914019513,0.051173613040890915,False
COL4A3,-0.24350629823225,0.02273913262865902,0.05124015380886981,False
MRPL42,-0.08867732775290493,0.022739135364674496,0.05124015380886981,False
TMEM155,0.19979998844234936,0.02282597078181689,0.051430015306573075,False
STK19,-0.09983203781568051,0.022843398748344613,0.051457652722234196,False
MCTP2,-0.10335810459037553,0.02284339600353785,0.051457652722234196,False
KRTAP5-5,0.006922745628849217,0.022864817492489392,0.051500082598876354,False
SUPT5H,-0.08294663908971511,0.02287824538426775,0.05152450654823568,False
SLC36A2,0.05939617130480712,0.022883258069603268,0.051529975083775686,False
AP001267.5,-0.0012960625812706503,0.02289083228481952,0.05154120994858628,False
CEACAM5,0.0030124409822050585,0.022908173154836436,0.05157443048341564,False
TGIF2,-0.09028596368640507,0.022913138189691498,0.0515797842639798,False
IL26,0.032493911902374634,0.022922648190234023,0.0515953668567268,False
ART1,-0.05576923271912679,0.022938776752464033,0.051625841617634935,False
TMEM211,-0.023913073019624476,0.02295379123320164,0.05165380243877814,False
PRODH,-0.2744533661342565,0.02296553376764109,0.051674394792825644,False
FKBP9,-0.13420138486157107,0.022983062506441117,0.05170216633796942,False
NRXN2,-0.23806528531272875,0.022983056993327356,0.05170216633796942,False
CCL4,0.2758899314748886,0.023088296487464893,0.05192718052646081,False
PRKX,-0.14034235403884132,0.023088296487464893,0.05192718052646081,False
SAMD12,-0.17019091894159222,0.023105870572277365,0.051960844515008583,False
ATP9B,-0.08112973087468722,0.02314105913814818,0.052034108164700395,False
COX17,0.1038585061977706,0.02315868472265292,0.0520619975194784,False
WNT3,0.15080162085356164,0.023158676408782806,0.0520619975194784,False
PDYN,0.003740634020091921,0.02317699970228971,0.052091423747520266,False
OTUD6B,-0.08773848613350843,0.023176302550897556,0.052091423747520266,False
KRCC1,-0.06525622129649733,0.023193948663235653,0.05212364161943107,False
PAGE2B,0.12142702637355957,0.023221489370747868,0.05217965232435152,False
ABHD8,-0.11734991426927088,0.023229256441420192,0.05219122322842414,False
ECT2L,-0.03589515064340085,0.023246837517463856,0.05222483903359936,False
NABP2,0.0861098183250979,0.023264616438447083,0.05224123466040747,False
SCX,0.17560334642426945,0.02326459697736882,0.05224123466040747,False
ATP5PD,-0.09574799639517373,0.023264616438447083,0.05224123466040747,False
ISOC1,-0.15470646711095792,0.023264616438447083,0.05224123466040747,False
SYCP3,-0.07923416924591864,0.023282254148774505,0.05227495306512006,False
RRAD,0.2730685711002625,0.023300020372405108,0.05230895239106103,False
SIAH1,-0.04219377898848009,0.023317731518937592,0.05234282042609522,False
MAML1,-0.06274465011939867,0.023335471070207617,0.05237674459054367,False
GABRA3,0.11851681632447347,0.023341270274284537,0.05238386388211223,False
CD302,-0.16746318846814967,0.02335321118354078,0.0524013798783107,False
NPY4R2,0.029928270512689807,0.02335433150760703,0.0524013798783107,False
GPKOW,-0.09816998184176029,0.023388732117437312,0.052466757533468175,False
SMIM27,-0.06195104151155606,0.02338871816484408,0.052466757533468175,False
FABP3,-0.3607296707756982,0.02344210424434814,0.05257222533899863,False
THEGL,0.019309508962329858,0.02344365811460712,0.05257222533899863,False
CFAP54,0.018413322272832378,0.023442017600378586,0.05257222533899863,False
NNAT,-0.14888295972930066,0.023459892328287966,0.0526027140397442,False
STX10,0.10545613049324043,0.0234777424953646,0.0526368188319554,False
MGAT4C,-0.0006790379703417795,0.023496405783818047,0.05267273875846236,False
RTCA,-0.07794234056111371,0.023513424958405055,0.05270496535364586,False
MLLT1,-0.08236695699574081,0.02354916008611408,0.05277319925783327,False
PCDHGC3,-0.1848387033539307,0.02354916008611408,0.05277319925783327,False
