,mean_weight,std_weight,folds_in_top50,abs_mean
HSD17B8,-0.0038845918534314433,0.0008806461204900666,0,0.0038845918534314433
SLC7A14,-0.003878014859440377,0.0019691205751677645,1,0.003878014859440377
TEAD3,0.003875903808239275,0.0007645414498815436,0,0.003875903808239275
MIEN1,0.0038713908976354466,0.00047754045083807714,0,0.0038713908976354466
OR52I1,-0.003871353674586975,0.0015459678738151766,0,0.003871353674586975
GPR158,0.003868302265782874,0.0008759622214851036,0,0.003868302265782874
SIX3,0.0038668546053157128,0.001819134720706579,0,0.0038668546053157128
BCDIN3D,-0.003862005197667937,0.0012146660230303752,0,0.003862005197667937
SLC39A8,-0.0038568379471736135,0.0007822938346379771,0,0.0038568379471736135
OR4C46,-0.0038507319715861956,0.0012184253885499344,0,0.0038507319715861956
NFE2L3,0.003850010199471729,0.0012664181119187434,0,0.003850010199471729
SLC7A10,-0.003847504012059126,0.0010368900243618463,0,0.003847504012059126
LEMD1,-0.003845209214195508,0.0015336053733088911,0,0.003845209214195508
CSH2,-0.003841760272580195,0.001091548712081369,0,0.003841760272580195
FBXO16,-0.0038364402022937525,0.0011036088846062206,0,0.0038364402022937525
LYNX1-SLURP2,-0.003831090633756913,0.001146683968641887,0,0.003831090633756913
AC008397.1,0.0038309397933587695,0.001631357318591103,0,0.0038309397933587695
CSAG3,0.003824395456148505,0.0018027422740927478,1,0.003824395456148505
TMEM238,-0.003818652347509498,0.0011389921174052241,0,0.003818652347509498
SYT14,-0.003807929369021668,0.0008740965541120454,0,0.003807929369021668
S100A12,0.003806826046636079,0.0009496695961126708,0,0.003806826046636079
PRR23B,0.0037968545134043656,0.0015166937194443625,0,0.0037968545134043656
SRC,0.0037956386662426787,0.0005815256360034447,0,0.0037956386662426787
ACTL6B,-0.003793768880468435,0.0023004922379520646,1,0.003793768880468435
VIPR1,-0.0037936779260626594,0.000967291700346199,0,0.0037936779260626594
HSPA4L,-0.003792414583429862,0.0006945722756621325,0,0.003792414583429862
TMPRSS11B,-0.003788934789418423,0.0008725560478139725,0,0.003788934789418423
