,mean_weight,std_weight,folds_in_top50,abs_mean
CRYBB1,-0.0035594075829488703,0.000564054520654575,0,0.0035594075829488703
SLC18B1,-0.0035578942033011028,0.0007342852180181899,0,0.0035578942033011028
ATP4A,0.0035538650818621224,0.001473374836331902,0,0.0035538650818621224
STK26,0.0035536841329067274,0.0008642134291325942,0,0.0035536841329067274
CENPBD1,-0.0035523591073835627,0.0007702152630216909,0,0.0035523591073835627
FAIM2,0.0035504217847226994,0.001519748619268665,0,0.0035504217847226994
ZNF354A,0.0035485003245290365,0.0013349502593506472,0,0.0035485003245290365
MELTF,0.0035470088087044037,0.000873623737075808,0,0.0035470088087044037
CPLX2,-0.003544575572948065,0.0015254145782606628,0,0.003544575572948065
NUDT6,-0.003544528723114779,0.0009491366018589834,0,0.003544528723114779
MRGPRX4,0.00353962070326327,0.0019173268675240498,0,0.00353962070326327
GOLGA8S,-0.0035373758718266505,0.0009779503801347926,0,0.0035373758718266505
OR6C76,-0.0035373233451396298,0.0012806398582851006,0,0.0035373233451396298
AL445238.1,0.0035371931073421214,0.0014885198672060453,0,0.0035371931073421214
PRCP,-0.0035365309774694625,0.0005343326505777289,0,0.0035365309774694625
PUSL1,0.0035283955041944494,0.0006836143550710417,0,0.0035283955041944494
PLEK2,0.003527678200555888,0.0011697053649188838,0,0.003527678200555888
RSPH1,-0.003525670132170837,0.0007395907505182237,0,0.003525670132170837
MRO,-0.003525325799014251,0.0007827263911931628,0,0.003525325799014251
GOT1L1,0.0035217179506757566,0.0008969159385382899,0,0.0035217179506757566
WDR86,-0.003520494026573405,0.0008135455472357238,0,0.003520494026573405
OR2AG1,-0.0035202916722158217,0.001256296169798829,0,0.0035202916722158217
CYP2R1,-0.00351640775522988,0.0010734440614449386,0,0.00351640775522988
MYOZ2,0.003512954558603574,0.0019493950093169073,0,0.003512954558603574
IL17F,-0.0035092289802939056,0.0007143473029936071,0,0.0035092289802939056
GPR101,-0.003508754911092294,0.0008875430568943822,0,0.003508754911092294
CDY2A,-0.0035045366789992092,0.0016068916787085078,0,0.0035045366789992092
UGT2B17,-0.0035002532091149424,0.001274005775614392,0,0.0035002532091149424
EFHD2,0.003498091173007002,0.0005533059069831003,0,0.003498091173007002
HES7,0.0034976000377949096,0.0008442547788375084,0,0.0034976000377949096
PDE3B,-0.003495051754925832,0.0008974819077692305,0,0.003495051754925832
AC020922.1,-0.0034947216960113485,0.0010808541650811283,0,0.0034947216960113485
SKIDA1,-0.0034941445888862694,0.001157402800759211,0,0.0034941445888862694
BCL3,0.0034885476076456775,0.0012314704762726827,0,0.0034885476076456775
SLC35F2,0.0034881676822542873,0.0011509248870855665,0,0.0034881676822542873
BARHL1,-0.003486996684619024,0.0014028230995279884,0,0.003486996684619024
C1QL1,0.0034833060024203636,0.0009223182445797775,0,0.0034833060024203636
ZMYND8,0.003483153289621038,0.0012461492516167491,0,0.003483153289621038
RNF212,0.0034810668432427557,0.0007557266610896423,0,0.0034810668432427557
NTPCR,-0.003481048278776545,0.0006359062671302831,0,0.003481048278776545
TMEM141,-0.0034805938255590327,0.0006948880170606184,0,0.0034805938255590327
RNF7,0.0034792108451245597,0.0006772217604974002,0,0.0034792108451245597
SPANXA2,0.003479120967683653,0.0033002158063788123,1,0.003479120967683653
TWIST2,0.0034790500496745154,0.001790234100131968,0,0.0034790500496745154
PPFIA3,-0.0034760205451058413,0.0011663119315240874,0,0.0034760205451058413
MALL,-0.0034756761419084854,0.0013055013207963866,0,0.0034756761419084854
ANKRD65,-0.0034749790326287014,0.0011999899846976115,0,0.0034749790326287014
B3GNT9,0.003473529068831026,0.0003961293709148289,0,0.003473529068831026
DPYSL3,0.0034731133728294105,0.0004915864744962017,0,0.0034731133728294105
CD70,0.0034698013616341833,0.000866349854732893,0,0.0034698013616341833
CYB5R1,-0.003466269658026752,0.0004602954418426479,0,0.003466269658026752
STRIP2,0.003465918617514191,0.0009602871791164315,0,0.003465918617514191
NKX3-2,0.0034638805892856692,0.0012305402672275361,0,0.0034638805892856692
KRT26,-0.0034609860871797973,0.0012324526993246284,0,0.0034609860871797973
EFHB,-0.0034603140219487045,0.0010028801911419725,0,0.0034603140219487045
MRPS15,0.003455285558987495,0.0007679099767656933,0,0.003455285558987495
